,GeneID,GSM4996084,GSM4996085,GSM4996086,GSM4996087,GSM4996088,GSM4996089,GSM4996090,GSM4996091,GSM4996092,GSM4996093,GSM4996094,GSM4996095,GSM4996096,GSM4996097,GSM4996098,GSM4996099,GSM4996100,GSM4996101
0,100287102,0.05619,0.1252,0.08707,0.0584,0.1418,0.06151,0.086,0.04914,0.07484,0.0581,0.06257,0.1013,0.09177,0.06382,0.05197,0.08851,0.09687,0.07044
1,653635,6.402,5.518,9.134,7.254,8.395,6.491,6.083,4.497,5.102,5.48,4.908,4.751,6.713,6.586,6.552,7.219,7.056,6.886
2,102466751,17.06,10.34,23.97,15.61,16.54,14.2,12.01,8.953,12.73,10.59,14.44,13.53,11.15,13.18,10.1,12.9,13.34,13.12
3,107985730,0.08628,0.07688,0.08912,0.0,0.0,0.0,0.06602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0721
4,100302278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,645520,0.0,0.0,0.0,0.0,0.04146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,79501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,100996442,0.3699,0.3212,0.578,0.345,0.584,0.3841,0.1814,0.2654,0.32,0.2451,0.3696,0.2991,0.2272,0.2693,0.2895,0.3287,0.2398,0.2774
8,729737,0.4325,0.3929,0.9723,0.6433,1.07,0.427,0.3309,0.3856,0.3538,0.3945,0.3493,0.4202,0.4062,0.4237,0.4078,0.4363,0.458,0.4677
9,102725121,0.02888,0.05148,0.02984,0.03002,0.05831,0.06323,0.08841,0.05051,0.05129,0.08959,0.09648,0.1041,0.09434,0.06561,0.02671,0.09099,0.09958,0.04828
10,102723897,5.693,5.026,8.114,6.52,7.21,5.828,5.163,4.172,4.493,5.014,4.931,4.488,6.084,5.987,5.29,6.062,5.997,5.904
11,102465909,4.778,4.258,9.167,5.675,8.268,5.977,4.701,4.178,4.848,3.529,3.8,3.69,5.945,4.652,3.788,4.301,3.922,5.705
12,107985721,0.01715,0.0,0.01772,0.01783,0.01731,0.0,0.0,0.015,0.0,0.01773,0.0,0.0,0.01868,0.0,0.03173,0.01801,0.0,0.02867
13,112268260,0.09856,0.06901,0.1164,0.09512,0.135,0.1002,0.06464,0.08003,0.05626,0.04367,0.07055,0.05074,0.04599,0.04798,0.05209,0.08132,0.05663,0.04707
14,729759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,100132287,1.041,0.8897,2.249,1.601,2.487,1.116,0.7315,0.7709,0.7733,0.7028,0.7924,0.8708,0.9829,0.9289,1.041,1.06,1.001,1.225
16,105378947,0.0,0.03531,0.02046,0.02059,0.02,0.02168,0.01516,0.01732,0.03518,0.04096,0.0,0.0357,0.02157,0.0,0.01832,0.0,0.04553,0.01656
17,101928626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,113219467,1774.0,2255.0,2406.0,2572.0,2380.0,2545.0,3538.0,2088.0,2622.0,3090.0,2485.0,2228.0,2066.0,2330.0,2300.0,2412.0,2361.0,2249.0
19,81399,0.008031,0.01431,0.01659,0.03338,0.03242,0.01758,0.01229,0.007022,0.01426,0.008302,0.008942,0.007235,0.008743,0.009121,0.007427,0.008433,0.009228,0.006711
20,100133331,1.271,1.104,2.94,1.818,2.916,1.546,0.773,0.8834,0.9452,0.73,0.7983,0.9591,1.017,1.073,1.035,1.357,1.086,1.325
21,107984841,2.857,2.859,5.074,3.542,5.515,3.512,0.9972,1.622,1.736,1.14,1.674,1.987,2.019,1.879,1.993,2.948,2.189,2.639
22,107984847,4.69,4.435,11.17,6.465,10.92,5.028,1.465,2.929,3.059,2.276,3.41,3.276,4.168,3.587,4.425,4.623,4.069,4.159
23,107984849,1.326,0.8863,2.74,1.206,3.346,1.633,0.3805,0.7248,0.8831,0.5142,0.7383,1.045,0.5414,1.318,0.9199,1.219,1.334,0.6927
24,100288069,1.557,1.599,2.693,2.182,3.246,2.075,0.6476,1.214,0.8116,0.8401,0.867,0.9151,1.438,1.5,1.19,1.422,1.323,1.584
25,105378580,0.4878,0.4589,0.7746,0.6666,0.8024,0.5834,0.2696,0.3713,0.369,0.1961,0.3521,0.35,0.3246,0.4309,0.376,0.4553,0.4568,0.5134
26,400728,0.382,0.4255,0.4193,0.2481,0.5784,0.2614,0.1279,0.2714,0.212,0.2222,0.2393,0.2366,0.4679,0.3254,0.2208,0.351,0.3841,0.2794
27,79854,1.093,1.319,1.383,0.9157,1.21,1.35,0.3506,0.6472,0.3755,0.8016,0.5494,0.7938,0.9593,0.8806,1.01,0.6292,0.567,0.7658
28,643837,1.151,1.281,1.48,1.217,1.548,1.414,1.135,1.042,1.102,1.086,1.203,1.11,1.188,1.022,0.9345,1.051,0.9417,1.113
29,107984850,0.03783,0.0,0.01954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02106,0.0,0.02059,0.0,0.01749,0.01986,0.0,0.0
30,284593,0.05442,0.04849,0.08432,0.02828,0.1098,0.02978,0.04164,0.02379,0.02416,0.02813,0.06059,0.04902,0.02962,0.0309,0.05032,0.02857,0.06253,0.04548
31,284600,1.251,1.126,2.175,0.7127,1.142,0.5926,0.3314,0.242,0.2564,0.1119,0.2545,0.1951,2.397,2.132,2.292,1.2,1.313,1.267
32,100130417,4.315,3.323,7.832,2.402,3.515,1.653,2.146,1.159,1.916,0.5417,0.9266,0.5831,8.859,8.366,8.209,5.405,5.773,5.641
33,107985728,2.559,2.484,3.998,0.9659,1.889,1.129,0.789,0.8238,1.176,0.2501,0.5387,0.4129,5.419,5.827,4.721,3.008,2.882,3.415
34,148398,8.042,7.328,10.84,4.622,5.02,4.292,3.82,2.762,2.901,1.745,1.738,1.668,16.32,16.25,14.32,6.9,7.051,7.282
35,26155,38.99,33.02,31.51,28.17,26.76,30.04,23.5,22.89,21.84,21.65,21.9,23.31,34.09,30.38,29.18,24.73,25.4,27.01
36,339451,3.371,2.865,5.955,3.312,4.775,2.946,2.103,1.907,1.647,2.036,2.161,1.863,3.485,3.571,3.105,2.945,2.946,2.924
37,84069,0.394,0.3615,0.4909,0.265,0.386,0.3298,0.2483,0.1622,0.1338,0.1318,0.2065,0.1357,0.1893,0.2369,0.1393,0.146,0.1731,0.2228
