,GeneID,GSM4996084,GSM4996085,GSM4996086,GSM4996087,GSM4996088,GSM4996089,GSM4996090,GSM4996091,GSM4996092,GSM4996093,GSM4996094,GSM4996095,GSM4996096,GSM4996097,GSM4996098,GSM4996099,GSM4996100,GSM4996101
8433,102724617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8792,402160,0.0,0.05162,0.1396,0.0,0.07795,0.02113,0.0,0.01688,0.01714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10627,107986409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21777,406918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14502,57786,4.121,4.904,6.258,5.034,5.477,4.08,3.148,3.223,3.372,3.215,3.283,3.801,4.013,4.473,4.278,4.43,4.655,4.623
30740,23302,0.06885,0.08327,0.0762,0.07156,0.04468,0.06998,0.4139,0.4387,0.3755,0.422,0.4217,0.3988,0.02677,0.02793,0.01819,0.02582,0.02261,0.02877
3890,400940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.0
3556,101927604,0.0,0.1563,0.0,0.1823,0.354,0.3199,0.3579,0.2556,0.4152,0.4835,0.3255,0.3687,0.1273,0.0,0.2703,0.4911,0.3359,0.2443
11394,103724389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07238,0.0
31551,85280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1267,107985379,0.0,0.0,0.05883,0.0,0.05749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1899,80263,0.7842,0.8482,1.059,0.9404,1.272,0.7117,0.6206,0.422,0.5356,0.4643,0.5821,0.5858,0.7297,0.8374,0.7996,0.6827,0.7317,0.7786
35773,85449,0.009094,0.02026,0.03758,0.0189,0.009179,0.01493,0.04175,0.01988,0.02422,0.009402,0.0,0.008193,0.297,0.2427,0.2397,0.191,0.2299,0.2014
19118,286204,0.1044,0.1137,0.1318,0.1386,0.1521,0.1587,0.08429,0.1115,0.103,0.1139,0.09038,0.1149,0.1326,0.07902,0.1072,0.1096,0.07995,0.1502
189,148645,0.02827,0.02519,0.0,0.0,0.02853,0.0,0.0,0.0,0.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2747,105371605,0.0,0.03136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03638,0.03918,0.0,0.0,0.0,0.03254,0.0,0.08088,0.0
18431,105379250,0.08752,0.143,0.07534,0.09096,0.1914,0.07984,0.02232,0.1148,0.06476,0.01508,0.03248,0.06571,0.07941,0.1822,0.08094,0.1225,0.08382,0.03657
18942,401546,0.06977,0.07772,0.1081,0.1813,0.1232,0.0,0.04004,0.04576,0.09292,0.0541,0.136,0.11,0.09495,0.01981,0.06453,0.05495,0.06014,0.07289
25658,100874145,0.0,0.0,0.07623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08034,0.0,0.0,0.07749,0.0,0.0
27480,100616276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6396,64708,5.768,5.728,6.888,5.905,6.773,5.638,4.918,4.526,4.497,4.785,5.43,4.586,5.328,4.954,4.779,5.355,5.574,5.207
28693,23184,21.01,20.15,20.65,16.74,16.88,16.83,22.33,22.27,22.66,21.07,21.15,21.69,19.54,18.22,18.49,15.01,14.52,15.52
19769,221061,3.399,3.262,3.569,3.494,3.28,3.393,4.537,5.495,5.041,5.309,5.718,4.728,5.195,5.037,5.069,5.001,4.743,4.518
17568,105375717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39188,252946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37819,401577,0.4269,0.4428,0.4699,0.4655,0.5016,0.4443,0.1714,0.1836,0.2548,0.1447,0.2182,0.1576,0.2438,0.1908,0.2589,0.294,0.3137,0.2223
5311,165257,0.0,0.0,0.02517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2433,105371729,4.256,4.341,3.097,3.561,3.215,3.604,2.806,2.598,2.804,3.432,2.951,3.015,3.41,3.375,3.515,3.036,3.168,3.423
769,81629,2.291,2.349,3.616,3.975,5.191,3.122,1.604,1.682,1.861,1.854,1.756,1.966,2.282,2.135,2.658,3.358,2.607,2.582
1685,101928436,0.02774,0.02472,0.05732,0.0,0.05601,0.03037,0.02123,0.04852,0.0,0.0,0.0,0.04999,0.0,0.09453,0.05132,0.1165,0.06377,0.06956
16023,50831,0.08432,0.1127,0.04355,0.4381,0.6383,0.2769,0.03226,0.1475,0.262,0.08717,0.3286,0.3039,0.1377,0.1436,0.2339,0.1328,0.3391,0.3876
21962,10978,5.708,5.288,5.429,4.913,3.68,5.009,5.464,4.288,4.376,4.445,4.312,4.463,4.49,5.055,4.162,4.779,4.132,4.245
37194,100128531,0.1431,0.0,0.0,0.04958,0.0,0.0,0.0,0.08343,0.0,0.0,0.0,0.04298,0.05194,0.0,0.04412,0.1002,0.1096,0.07974
16850,137970,0.0,0.003523,0.004083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6265,10290,0.8126,0.6753,1.317,1.026,1.411,0.8774,2.95,2.761,3.284,2.537,2.483,2.595,4.51,4.642,4.463,3.824,3.795,3.679
11284,642987,0.02633,0.02773,0.04204,0.05722,0.04591,0.04978,0.02564,0.02512,0.034,0.0297,0.01866,0.02804,0.02606,0.02719,0.0155,0.03268,0.02751,0.03201
38158,5935,32.47,33.08,35.8,27.32,29.15,29.98,30.49,28.87,30.38,31.15,31.17,32.83,34.95,38.34,38.62,37.09,35.8,39.03
860,79753,3.598,3.451,3.253,3.527,3.344,3.503,3.822,3.271,3.538,3.361,3.541,3.581,3.074,3.345,3.573,3.404,3.291,3.637
15795,105375482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
